"date","location","gender","sociodemographics","indicators","statistics","scale","value"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","60.1"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","56.5"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","2452"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","2503"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","2180"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","2900"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","3017"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","2865"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","22.9"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","26.4"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","25.9"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.5"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","20.6"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","26.1"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1022"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1186"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1183"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1113"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1032"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 1 or 2","Number of persons","thousands","1313"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","31.9"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","29.2"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","36.5"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","30.8"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","30.7"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Percentage of persons","units","28.5"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1424"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1315"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1667"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1461"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1534"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 3","Number of persons","thousands","1433"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","45.2"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","44.4"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","37.6"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","45.8"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","48.7"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Percentage of persons","units","45.4"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","2015"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","2000"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","1719"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","2172"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","2435"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the justice system and courts rating of 4 or 5","Number of persons","thousands","2283"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","26.2"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","34.3"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","32.3"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","26.4"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","23.5"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Percentage of persons","units","26.0"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1167"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1545"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1475"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1253"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1178"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 1 or 2","Number of persons","thousands","1318"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","33.5"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","28.0"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","28.4"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","33.6"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","34.8"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Percentage of persons","units","32.3"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1495"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1261"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1298"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1593"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1750"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 3","Number of persons","thousands","1640"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","40.3"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","37.8"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","39.3"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","40.1"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","41.7"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Percentage of persons","units","41.7"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","1797"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","1703"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","1796"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","1903"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","2094"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the school system rating of 4 or 5","Number of persons","thousands","2114"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","27.5"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","34.1"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","36.5"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","40.2"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","33.7"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Percentage of persons","units","35.5"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1231"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1535"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1662"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1907"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1685"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 1 or 2","Number of persons","thousands","1787"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","41.3"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","32.6"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","36.7"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","31.3"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","32.5"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Percentage of persons","units","33.3"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1850"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1468"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1668"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1484"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1626"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 3","Number of persons","thousands","1676"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","31.1"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","33.3"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","26.8"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","28.6"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","33.8"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Percentage of persons","units","31.2"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1394"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1497"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1219"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1358"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1687"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Federal Parliament rating of 4 or 5","Number of persons","thousands","1569"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","43.0"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","39.6"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","31.3"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","28.1"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Percentage of persons","units","30.1"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","1940"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","1796"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","1487"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","1406"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 1 or 2","Number of persons","thousands","1520"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Percentage of persons","units","31.0"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Percentage of persons","units","37.6"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Percentage of persons","units","34.7"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Percentage of persons","units","35.5"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Percentage of persons","units","35.2"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Number of persons","thousands","1400"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Number of persons","thousands","1706"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Number of persons","thousands","1646"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Number of persons","thousands","1778"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 3","Number of persons","thousands","1778"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","25.9"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","22.9"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","34.0"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","36.4"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Percentage of persons","units","34.6"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","1169"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","1039"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","1615"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","1823"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the Canadian media rating of 4 or 5","Number of persons","thousands","1747"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","16.0"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","18.5"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","18.6"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","14.7"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","17.9"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","16.6"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2414"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2821"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2877"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2301"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2887"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","2716"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","23.0"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","25.8"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","25.1"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","24.7"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","24.8"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Percentage of persons","units","25.4"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","3482"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","3930"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","3868"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","3877"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","4005"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 3","Number of persons","thousands","4152"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.0"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","55.6"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","56.3"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","60.6"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","57.4"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","58.0"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","9229"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","8468"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","8684"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","9506"
"2024-07","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","9278"
"2024-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the police rating of 4 or 5","Number of persons","thousands","9468"
"2022-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.4"
"2022-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","26.1"
"2023-04","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","26.1"
"2023-10","Canada (excluding territories)","Total, all persons","25 to 54 years","Confidence in the justice system and courts rating of 1 or 2","Percentage of persons","units","23.0"
